timestamp,open,high,low,close,volume
1752048000000,108714.39,108837.7,108683.27,108810.9,112.21739
1752049800000,108810.9,108821.81,108654.15,108654.16,147.25072
1752051600000,108654.15,108671.65,108553.18,108610.0,99.91662
1752053400000,108610.0,108793.47,108589.99,108763.37,234.17272
1752055200000,108763.37,108840.0,108708.0,108803.68,72.80061
1752057000000,108803.69,108900.0,108803.66,108900.0,86.59718
1752058800000,108900.0,109088.19,108899.99,109050.34,260.34711
1752060600000,109050.33,109117.0,108929.71,109058.27,262.69381
1752062400000,109058.27,109500.0,108992.87,109493.99,521.68174
1752064200000,109493.98,109500.0,109273.39,109330.77,395.95176
1752066000000,109330.76,109769.39,109330.76,109576.59,767.66075
1752067800000,109576.59,109698.15,109128.72,109184.0,633.03797
1752069600000,109183.99,109460.94,108907.0,108908.94,314.13604
1752071400000,108908.94,109036.0,108503.0,108900.29,809.04255
1752073200000,108900.29,109215.69,108821.75,108993.0,431.10027
1752075000000,108993.0,109116.26,108816.52,109071.32,235.78023
1752076800000,109071.32,109278.41,109047.49,109203.85,158.92148
1752078600000,109203.84,109475.29,109203.84,109408.71,179.35201
1752080400000,109408.72,109447.82,109052.74,109123.7,169.67201
1752082200000,109123.7,109213.0,109047.49,109168.0,131.59717
1752084000000,109168.01,109579.98,109137.42,109550.0,384.4598
1752085800000,109549.99,109550.0,109376.0,109536.49,175.0348
1752087600000,109536.5,110350.0,109500.0,110346.01,1255.36868
1752089400000,110346.02,111999.79,110245.66,111750.0,3884.1686
1752091200000,111749.99,111952.33,110934.25,111005.87,1125.82361
1752093000000,111005.87,111101.11,110559.4,110714.97,551.86937
1752094800000,110714.97,111280.0,110682.39,111220.87,466.55629
1752096600000,111220.87,111220.88,110818.36,110818.36,222.766
1752098400000,110818.36,111336.56,110818.36,111084.55,312.93433
1752100200000,111084.54,111403.85,111084.54,111382.17,269.4775
1752102000000,111382.17,111521.0,111255.65,111404.2,330.01138
1752103800000,111404.2,111514.03,111229.92,111233.99,283.48459
1752105600000,111234.0,111319.24,111147.33,111147.33,202.68166
1752107400000,111147.33,111206.53,110916.66,110916.66,199.67999
1752109200000,110916.66,111163.18,110880.0,111096.04,167.4044
1752111000000,111096.04,111356.0,111096.04,111189.71,306.87755
1752112800000,111189.7,111581.0,111189.7,111295.97,358.15611
1752114600000,111295.97,111371.54,111150.0,111213.91,135.2029
1752116400000,111213.91,111221.14,111054.27,111054.27,178.27698
1752118200000,111054.28,111085.48,110986.33,111074.51,139.45507
1752120000000,111074.52,111074.52,110951.59,111055.3,93.87272
1752121800000,111055.29,111185.77,111055.29,111150.0,198.26111
1752123600000,111150.0,111164.35,110898.0,110993.61,339.03882
1752125400000,110993.62,111160.67,110944.0,111086.14,138.16246
1752127200000,111086.14,111306.49,111086.14,111278.66,207.51061
1752129000000,111278.66,111298.08,111141.92,111233.34,188.17247
1752130800000,111233.33,111432.46,111220.88,111363.89,305.39104
1752132600000,111363.89,111375.66,111144.08,111230.0,196.7049
1752134400000,111229.99,111276.92,111102.78,111260.33,206.77638
1752136200000,111260.32,111398.96,111222.74,111233.33,194.28811
1752138000000,111233.34,111258.0,111111.45,111130.0,112.43769
1752139800000,111130.0,111172.31,111021.57,111041.36,174.53235
1752141600000,111041.37,111088.08,110991.16,111009.88,112.43448
1752143400000,111009.87,111098.3,110870.33,111088.51,243.64076
1752145200000,111088.51,111173.95,111020.0,111165.25,184.13022
1752147000000,111165.26,111165.26,110967.0,111019.99,179.55298
1752148800000,111019.99,111020.0,110752.35,110921.4,224.97228
1752150600000,110921.41,110932.94,110780.0,110869.0,132.68631
1752152400000,110869.0,111039.99,110823.24,111039.99,163.81644
